,Date,parameter,value
202,2021-06-29,pm10,19.833333333333332
203,2021-06-29,pm25,12.083333333333334
204,2021-06-30,pm10,24.736842105263158
205,2021-06-30,pm25,23.0
206,2021-07-01,pm10,19.145454545454545
207,2021-07-01,pm25,11.40983606557377
208,2021-07-02,pm10,16.91176470588235
209,2021-07-02,pm25,12.377358490566039
210,2021-07-03,pm10,21.263157894736842
211,2021-07-03,pm25,13.741379310344827
212,2021-07-04,pm10,28.027210884353742
213,2021-07-04,pm25,21.406779661016948
214,2021-07-05,pm10,28.11627906976744
215,2021-07-05,pm25,19.5
216,2021-07-06,pm10,34.00787401574803
217,2021-07-06,pm25,23.055555555555557
218,2021-07-07,pm10,37.57142857142857
219,2021-07-07,pm25,28.666666666666668
220,2021-07-08,pm10,26.884615384615383
221,2021-07-08,pm25,19.071428571428573
222,2021-07-09,pm10,23.45744680851064
223,2021-07-09,pm25,12.279069767441861
224,2021-07-12,pm10,60.11666666666667
225,2021-07-12,pm25,26.6
226,2021-07-13,pm10,37.767857142857146
227,2021-07-13,pm25,19.307692307692307
228,2021-07-14,pm10,30.46728971962617
229,2021-07-14,pm25,16.975609756097562
230,2021-07-15,pm10,30.75
231,2021-07-15,pm25,14.333333333333334
232,2021-07-16,pm10,42.16216216216216
233,2021-07-16,pm25,22.11764705882353
234,2021-07-17,pm10,56.1978021978022
235,2021-07-17,pm25,31.38888888888889
236,2021-07-18,pm10,37.85606060606061
237,2021-07-18,pm25,19.724137931034484
238,2021-07-19,pm10,30.425925925925927
239,2021-07-19,pm25,13.409090909090908
240,2021-07-20,pm10,31.535714285714285
241,2021-07-20,pm25,17.96969696969697
242,2021-07-21,pm10,34.91836734693877
243,2021-07-21,pm25,18.1
244,2021-07-22,pm10,26.912
245,2021-07-22,pm25,13.6
246,2021-07-23,pm10,52.1231884057971
247,2021-07-23,pm25,27.43103448275862
248,2021-07-24,pm10,56.47244094488189
249,2021-07-24,pm25,25.098039215686274
250,2021-07-25,pm10,22.25
